"sim","fit_model","job"
1,"MGCV",1
2,"MGCV",2
3,"MGCV",3
4,"MGCV",4
5,"MGCV",5
6,"MGCV",6
7,"MGCV",7
8,"MGCV",8
9,"MGCV",9
10,"MGCV",10
11,"MGCV",11
12,"MGCV",12
13,"MGCV",13
14,"MGCV",14
15,"MGCV",15
16,"MGCV",16
17,"MGCV",17
18,"MGCV",18
19,"MGCV",19
20,"MGCV",20
21,"MGCV",21
22,"MGCV",22
23,"MGCV",23
24,"MGCV",24
25,"MGCV",25
26,"MGCV",26
27,"MGCV",27
28,"MGCV",28
29,"MGCV",29
30,"MGCV",30
31,"MGCV",31
32,"MGCV",32
33,"MGCV",33
34,"MGCV",34
35,"MGCV",35
36,"MGCV",36
37,"MGCV",37
38,"MGCV",38
39,"MGCV",39
40,"MGCV",40
41,"MGCV",41
42,"MGCV",42
43,"MGCV",43
44,"MGCV",44
45,"MGCV",45
46,"MGCV",46
47,"MGCV",47
48,"MGCV",48
49,"MGCV",49
50,"MGCV",50
51,"MGCV",51
52,"MGCV",52
53,"MGCV",53
54,"MGCV",54
55,"MGCV",55
56,"MGCV",56
57,"MGCV",57
58,"MGCV",58
59,"MGCV",59
60,"MGCV",60
61,"MGCV",61
62,"MGCV",62
63,"MGCV",63
64,"MGCV",64
65,"MGCV",65
66,"MGCV",66
67,"MGCV",67
68,"MGCV",68
69,"MGCV",69
70,"MGCV",70
71,"MGCV",71
72,"MGCV",72
73,"MGCV",73
74,"MGCV",74
75,"MGCV",75
76,"MGCV",76
77,"MGCV",77
78,"MGCV",78
79,"MGCV",79
80,"MGCV",80
81,"MGCV",81
82,"MGCV",82
83,"MGCV",83
84,"MGCV",84
85,"MGCV",85
86,"MGCV",86
87,"MGCV",87
88,"MGCV",88
89,"MGCV",89
90,"MGCV",90
91,"MGCV",91
92,"MGCV",92
93,"MGCV",93
94,"MGCV",94
95,"MGCV",95
96,"MGCV",96
97,"MGCV",97
98,"MGCV",98
99,"MGCV",99
100,"MGCV",100
1,"MGCV FIXED",101
2,"MGCV FIXED",102
3,"MGCV FIXED",103
4,"MGCV FIXED",104
5,"MGCV FIXED",105
6,"MGCV FIXED",106
7,"MGCV FIXED",107
8,"MGCV FIXED",108
9,"MGCV FIXED",109
10,"MGCV FIXED",110
11,"MGCV FIXED",111
12,"MGCV FIXED",112
13,"MGCV FIXED",113
14,"MGCV FIXED",114
15,"MGCV FIXED",115
16,"MGCV FIXED",116
17,"MGCV FIXED",117
18,"MGCV FIXED",118
19,"MGCV FIXED",119
20,"MGCV FIXED",120
21,"MGCV FIXED",121
22,"MGCV FIXED",122
23,"MGCV FIXED",123
24,"MGCV FIXED",124
25,"MGCV FIXED",125
26,"MGCV FIXED",126
27,"MGCV FIXED",127
28,"MGCV FIXED",128
29,"MGCV FIXED",129
30,"MGCV FIXED",130
31,"MGCV FIXED",131
32,"MGCV FIXED",132
33,"MGCV FIXED",133
34,"MGCV FIXED",134
35,"MGCV FIXED",135
36,"MGCV FIXED",136
37,"MGCV FIXED",137
38,"MGCV FIXED",138
39,"MGCV FIXED",139
40,"MGCV FIXED",140
41,"MGCV FIXED",141
42,"MGCV FIXED",142
43,"MGCV FIXED",143
