"fld_dim","sim","fit_model","job"
50,1,"MGCV",1
100,1,"MGCV",2
200,1,"MGCV",3
300,1,"MGCV",4
50,2,"MGCV",5
100,2,"MGCV",6
200,2,"MGCV",7
300,2,"MGCV",8
50,3,"MGCV",9
100,3,"MGCV",10
200,3,"MGCV",11
300,3,"MGCV",12
50,4,"MGCV",13
100,4,"MGCV",14
200,4,"MGCV",15
300,4,"MGCV",16
50,5,"MGCV",17
100,5,"MGCV",18
200,5,"MGCV",19
300,5,"MGCV",20
50,6,"MGCV",21
100,6,"MGCV",22
200,6,"MGCV",23
300,6,"MGCV",24
50,7,"MGCV",25
100,7,"MGCV",26
200,7,"MGCV",27
300,7,"MGCV",28
50,8,"MGCV",29
100,8,"MGCV",30
200,8,"MGCV",31
300,8,"MGCV",32
50,9,"MGCV",33
100,9,"MGCV",34
200,9,"MGCV",35
300,9,"MGCV",36
50,10,"MGCV",37
100,10,"MGCV",38
200,10,"MGCV",39
300,10,"MGCV",40
50,11,"MGCV",41
100,11,"MGCV",42
200,11,"MGCV",43
300,11,"MGCV",44
50,12,"MGCV",45
100,12,"MGCV",46
200,12,"MGCV",47
300,12,"MGCV",48
50,13,"MGCV",49
100,13,"MGCV",50
200,13,"MGCV",51
300,13,"MGCV",52
50,14,"MGCV",53
100,14,"MGCV",54
200,14,"MGCV",55
300,14,"MGCV",56
50,15,"MGCV",57
100,15,"MGCV",58
200,15,"MGCV",59
300,15,"MGCV",60
50,16,"MGCV",61
100,16,"MGCV",62
200,16,"MGCV",63
300,16,"MGCV",64
50,17,"MGCV",65
100,17,"MGCV",66
200,17,"MGCV",67
300,17,"MGCV",68
50,18,"MGCV",69
100,18,"MGCV",70
200,18,"MGCV",71
300,18,"MGCV",72
50,19,"MGCV",73
100,19,"MGCV",74
200,19,"MGCV",75
300,19,"MGCV",76
50,20,"MGCV",77
100,20,"MGCV",78
200,20,"MGCV",79
300,20,"MGCV",80
50,21,"MGCV",81
100,21,"MGCV",82
200,21,"MGCV",83
300,21,"MGCV",84
50,22,"MGCV",85
100,22,"MGCV",86
200,22,"MGCV",87
300,22,"MGCV",88
50,23,"MGCV",89
100,23,"MGCV",90
200,23,"MGCV",91
300,23,"MGCV",92
50,24,"MGCV",93
100,24,"MGCV",94
200,24,"MGCV",95
300,24,"MGCV",96
50,25,"MGCV",97
100,25,"MGCV",98
200,25,"MGCV",99
300,25,"MGCV",100
50,26,"MGCV",101
100,26,"MGCV",102
200,26,"MGCV",103
300,26,"MGCV",104
50,27,"MGCV",105
100,27,"MGCV",106
200,27,"MGCV",107
300,27,"MGCV",108
50,28,"MGCV",109
100,28,"MGCV",110
200,28,"MGCV",111
300,28,"MGCV",112
50,29,"MGCV",113
100,29,"MGCV",114
200,29,"MGCV",115
300,29,"MGCV",116
50,30,"MGCV",117
100,30,"MGCV",118
200,30,"MGCV",119
300,30,"MGCV",120
50,31,"MGCV",121
100,31,"MGCV",122
200,31,"MGCV",123
300,31,"MGCV",124
50,32,"MGCV",125
100,32,"MGCV",126
200,32,"MGCV",127
300,32,"MGCV",128
50,33,"MGCV",129
100,33,"MGCV",130
200,33,"MGCV",131
300,33,"MGCV",132
50,34,"MGCV",133
100,34,"MGCV",134
200,34,"MGCV",135
300,34,"MGCV",136
50,35,"MGCV",137
100,35,"MGCV",138
200,35,"MGCV",139
300,35,"MGCV",140
50,36,"MGCV",141
100,36,"MGCV",142
200,36,"MGCV",143
300,36,"MGCV",144
50,37,"MGCV",145
100,37,"MGCV",146
200,37,"MGCV",147
300,37,"MGCV",148
50,38,"MGCV",149
100,38,"MGCV",150
200,38,"MGCV",151
300,38,"MGCV",152
50,39,"MGCV",153
100,39,"MGCV",154
200,39,"MGCV",155
300,39,"MGCV",156
50,40,"MGCV",157
100,40,"MGCV",158
200,40,"MGCV",159
300,40,"MGCV",160
50,41,"MGCV",161
100,41,"MGCV",162
200,41,"MGCV",163
300,41,"MGCV",164
50,42,"MGCV",165
100,42,"MGCV",166
200,42,"MGCV",167
300,42,"MGCV",168
50,43,"MGCV",169
100,43,"MGCV",170
200,43,"MGCV",171
300,43,"MGCV",172
50,44,"MGCV",173
100,44,"MGCV",174
200,44,"MGCV",175
300,44,"MGCV",176
50,45,"MGCV",177
100,45,"MGCV",178
200,45,"MGCV",179
300,45,"MGCV",180
50,46,"MGCV",181
100,46,"MGCV",182
200,46,"MGCV",183
300,46,"MGCV",184
50,47,"MGCV",185
100,47,"MGCV",186
200,47,"MGCV",187
300,47,"MGCV",188
50,48,"MGCV",189
100,48,"MGCV",190
200,48,"MGCV",191
300,48,"MGCV",192
50,49,"MGCV",193
100,49,"MGCV",194
200,49,"MGCV",195
300,49,"MGCV",196
50,50,"MGCV",197
100,50,"MGCV",198
200,50,"MGCV",199
300,50,"MGCV",200
50,51,"MGCV",201
100,51,"MGCV",202
200,51,"MGCV",203
300,51,"MGCV",204
50,52,"MGCV",205
100,52,"MGCV",206
200,52,"MGCV",207
300,52,"MGCV",208
50,53,"MGCV",209
