"bias_range","env_range","lat_range","fit_model","quad","n_pred","sim","job"
29,15,25,"INLA PA","full","full",1,1
29,15,25,"INLA PO","full","full",1,2
29,15,25,"INLA IDM","full","full",1,3
29,15,25,"SCAMPR","full","full",1,4
29,15,25,"SCAMPR FIXED","full","full",1,5
29,15,25,"INLA PA","mesh","full",1,6
29,15,25,"INLA PO","mesh","full",1,7
29,15,25,"INLA IDM","mesh","full",1,8
29,15,25,"SCAMPR","mesh","full",1,9
29,15,25,"SCAMPR FIXED","mesh","full",1,10
29,15,25,"INLA PA","full","full",2,11
29,15,25,"INLA PO","full","full",2,12
29,15,25,"INLA IDM","full","full",2,13
29,15,25,"SCAMPR","full","full",2,14
29,15,25,"SCAMPR FIXED","full","full",2,15
29,15,25,"INLA PA","mesh","full",2,16
29,15,25,"INLA PO","mesh","full",2,17
29,15,25,"INLA IDM","mesh","full",2,18
29,15,25,"SCAMPR","mesh","full",2,19
29,15,25,"SCAMPR FIXED","mesh","full",2,20
29,15,25,"INLA PA","full","full",3,21
29,15,25,"INLA PO","full","full",3,22
29,15,25,"INLA IDM","full","full",3,23
29,15,25,"SCAMPR","full","full",3,24
29,15,25,"SCAMPR FIXED","full","full",3,25
29,15,25,"INLA PA","mesh","full",3,26
29,15,25,"INLA PO","mesh","full",3,27
29,15,25,"INLA IDM","mesh","full",3,28
29,15,25,"SCAMPR","mesh","full",3,29
29,15,25,"SCAMPR FIXED","mesh","full",3,30
29,15,25,"INLA PA","full","full",4,31
29,15,25,"INLA PO","full","full",4,32
29,15,25,"INLA IDM","full","full",4,33
29,15,25,"SCAMPR","full","full",4,34
29,15,25,"SCAMPR FIXED","full","full",4,35
29,15,25,"INLA PA","mesh","full",4,36
29,15,25,"INLA PO","mesh","full",4,37
29,15,25,"INLA IDM","mesh","full",4,38
29,15,25,"SCAMPR","mesh","full",4,39
29,15,25,"SCAMPR FIXED","mesh","full",4,40
29,15,25,"INLA PA","full","full",5,41
29,15,25,"INLA PO","full","full",5,42
29,15,25,"INLA IDM","full","full",5,43
29,15,25,"SCAMPR","full","full",5,44
29,15,25,"SCAMPR FIXED","full","full",5,45
29,15,25,"INLA PA","mesh","full",5,46
29,15,25,"INLA PO","mesh","full",5,47
29,15,25,"INLA IDM","mesh","full",5,48
29,15,25,"SCAMPR","mesh","full",5,49
29,15,25,"SCAMPR FIXED","mesh","full",5,50
29,15,25,"INLA PA","full","full",6,51
29,15,25,"INLA PO","full","full",6,52
29,15,25,"INLA IDM","full","full",6,53
29,15,25,"SCAMPR","full","full",6,54
29,15,25,"SCAMPR FIXED","full","full",6,55
29,15,25,"INLA PA","mesh","full",6,56
29,15,25,"INLA PO","mesh","full",6,57
29,15,25,"INLA IDM","mesh","full",6,58
29,15,25,"SCAMPR","mesh","full",6,59
29,15,25,"SCAMPR FIXED","mesh","full",6,60
29,15,25,"INLA PA","full","full",7,61
29,15,25,"INLA PO","full","full",7,62
29,15,25,"INLA IDM","full","full",7,63
29,15,25,"SCAMPR","full","full",7,64
29,15,25,"SCAMPR FIXED","full","full",7,65
29,15,25,"INLA PA","mesh","full",7,66
29,15,25,"INLA PO","mesh","full",7,67
29,15,25,"INLA IDM","mesh","full",7,68
29,15,25,"SCAMPR","mesh","full",7,69
29,15,25,"SCAMPR FIXED","mesh","full",7,70
29,15,25,"INLA PA","full","full",8,71
29,15,25,"INLA PO","full","full",8,72
29,15,25,"INLA IDM","full","full",8,73
29,15,25,"SCAMPR","full","full",8,74
29,15,25,"SCAMPR FIXED","full","full",8,75
29,15,25,"INLA PA","mesh","full",8,76
29,15,25,"INLA PO","mesh","full",8,77
29,15,25,"INLA IDM","mesh","full",8,78
29,15,25,"SCAMPR","mesh","full",8,79
29,15,25,"SCAMPR FIXED","mesh","full",8,80
29,15,25,"INLA PA","full","full",9,81
29,15,25,"INLA PO","full","full",9,82
29,15,25,"INLA IDM","full","full",9,83
29,15,25,"SCAMPR","full","full",9,84
29,15,25,"SCAMPR FIXED","full","full",9,85
29,15,25,"INLA PA","mesh","full",9,86
29,15,25,"INLA PO","mesh","full",9,87
29,15,25,"INLA IDM","mesh","full",9,88
29,15,25,"SCAMPR","mesh","full",9,89
29,15,25,"SCAMPR FIXED","mesh","full",9,90
29,15,25,"INLA PA","full","full",10,91
29,15,25,"INLA PO","full","full",10,92
29,15,25,"INLA IDM","full","full",10,93
29,15,25,"SCAMPR","full","full",10,94
29,15,25,"SCAMPR FIXED","full","full",10,95
29,15,25,"INLA PA","mesh","full",10,96
29,15,25,"INLA PO","mesh","full",10,97
29,15,25,"INLA IDM","mesh","full",10,98
29,15,25,"SCAMPR","mesh","full",10,99
29,15,25,"SCAMPR FIXED","mesh","full",10,100
29,15,25,"INLA PA","full","full",11,101
29,15,25,"INLA PO","full","full",11,102
29,15,25,"INLA IDM","full","full",11,103
29,15,25,"SCAMPR","full","full",11,104
29,15,25,"SCAMPR FIXED","full","full",11,105
29,15,25,"INLA PA","mesh","full",11,106
29,15,25,"INLA PO","mesh","full",11,107
29,15,25,"INLA IDM","mesh","full",11,108
29,15,25,"SCAMPR","mesh","full",11,109
